D,pad,shield,freq
0.1,0.6,1.4,39.69
0.1,0.6,1.4,39.7
0.1,0.6,1.4,39.71
0.1,0.6,1.4,39.72
0.1,0.6,1.4,39.73
0.1,0.6,1.4,39.74
0.1,0.6,1.4,39.75
0.1,0.6,1.4,39.76
0.1,0.6,1.4,39.77
0.1,0.6,1.4,39.78
0.1,0.6,1.4,39.79
0.1,0.6,1.4,39.8
0.1,0.6,1.4,39.81
0.1,0.6,1.4,39.82
0.1,0.6,1.4,39.83
0.1,0.6,1.4,39.84
0.1,0.6,1.4,39.85
0.1,0.6,1.4,39.86
0.1,0.6,1.4,39.87
0.1,0.6,1.4,39.88
0.1,0.6,1.4,39.89
0.1,0.6,1.4,39.9
0.1,0.6,1.4,39.91
0.1,0.6,1.4,39.92
0.1,0.6,1.4,39.93
0.1,0.6,1.4,39.94
0.1,0.6,1.4,39.95
0.1,0.6,1.4,39.96
0.1,0.6,1.4,39.97
0.1,0.6,1.4,39.98
0.1,0.6,1.4,39.99
0.1,0.6,1.4,40
0.1,0.6,1.4,40.01
0.1,0.6,1.4,40.02
0.1,0.6,1.4,40.03
0.1,0.6,1.4,40.04
0.1,0.6,1.4,40.05
0.1,0.6,1.4,40.06
0.1,0.6,1.4,40.07
0.1,0.6,1.4,40.08
0.1,0.6,1.4,40.09
0.1,0.6,1.4,40.1
0.1,0.6,1.4,40.11
0.1,0.6,1.4,40.12
0.1,0.6,1.4,40.13
0.1,0.6,1.4,40.14
0.1,0.6,1.4,40.15
0.1,0.6,1.4,40.16
0.1,0.6,1.4,40.17
0.1,0.6,1.4,40.18
0.1,0.6,1.4,40.19
0.1,0.6,1.4,40.2
0.1,0.6,1.4,40.21
0.1,0.6,1.4,40.22
0.1,0.6,1.4,40.23
0.1,0.6,1.4,40.24
0.1,0.6,1.4,40.25
0.1,0.6,1.4,40.26
0.1,0.6,1.4,40.27
0.1,0.6,1.4,40.28
0.1,0.6,1.4,40.29
0.1,0.6,1.4,40.3
0.1,0.6,1.4,40.31
0.1,0.6,1.4,40.32
0.1,0.6,1.4,40.33
0.1,0.6,1.4,40.34
0.1,0.6,1.4,40.35
0.1,0.6,1.4,40.36
0.1,0.6,1.4,40.37
0.1,0.6,1.4,40.38
0.1,0.6,1.4,40.39
0.1,0.6,1.4,40.4
0.1,0.6,1.4,40.41
0.1,0.6,1.4,40.42
0.1,0.6,1.4,40.43
0.1,0.6,1.4,40.44
0.1,0.6,1.4,40.45
0.1,0.6,1.4,40.46
0.1,0.6,1.4,40.47
0.1,0.6,1.4,40.48
0.1,0.6,1.4,40.49
0.1,0.6,1.4,40.5
0.1,0.6,1.4,40.51
0.1,0.6,1.4,40.52
0.1,0.6,1.4,40.53
0.1,0.6,1.4,40.54
0.1,0.6,1.4,40.55
0.1,0.6,1.4,40.56
0.1,0.6,1.4,40.57
0.1,0.6,1.4,40.58
0.1,0.6,1.4,40.59
0.1,0.6,1.4,40.6
0.1,0.6,1.4,40.61
0.1,0.6,1.4,40.62
0.1,0.6,1.4,40.63
0.1,0.6,1.4,40.64
0.1,0.6,1.4,40.65
0.1,0.6,1.4,40.66
0.1,0.6,1.4,40.67
0.1,0.6,1.4,40.68
0.1,0.6,1.4,40.69
0.1,0.6,1.4,40.7
0.1,0.6,1.4,40.71
0.1,0.6,1.4,40.72
0.1,0.6,1.4,40.73
0.1,0.6,1.4,40.74
0.1,0.6,1.4,40.75
0.1,0.6,1.4,40.76
0.1,0.6,1.4,40.77
0.1,0.6,1.4,40.78
0.1,0.6,1.4,40.79
0.1,0.6,1.4,40.8
0.1,0.6,1.4,40.81
0.1,0.6,1.4,40.82
0.1,0.6,1.4,40.83
0.1,0.6,1.4,40.84
0.1,0.6,1.4,40.85
0.1,0.6,1.4,40.86
0.1,0.6,1.4,40.87
0.1,0.6,1.4,40.88
0.1,0.6,1.4,40.89
0.1,0.6,1.4,40.9
0.1,0.6,1.4,40.91
0.1,0.6,1.4,40.92
0.1,0.6,1.4,40.93
0.1,0.6,1.4,40.94
0.1,0.6,1.4,40.95
0.1,0.6,1.4,40.96
0.1,0.6,1.4,40.97
0.1,0.6,1.4,40.98
0.1,0.6,1.4,40.99
0.1,0.6,1.4,41
0.1,0.6,1.45,37
0.1,0.6,1.45,37.01
0.1,0.6,1.45,37.02
0.1,0.6,1.45,37.03
0.1,0.6,1.45,37.04
0.1,0.6,1.45,37.05
0.1,0.6,1.45,37.06
0.1,0.6,1.45,37.07
0.1,0.6,1.45,37.08
0.1,0.6,1.45,37.09
0.1,0.6,1.45,37.1
0.1,0.6,1.45,37.11
0.1,0.6,1.45,37.12
0.1,0.6,1.45,37.13
0.1,0.6,1.45,37.14
0.1,0.6,1.45,37.15
0.1,0.6,1.45,37.16
0.1,0.6,1.45,37.17
0.1,0.6,1.45,37.18
0.1,0.6,1.45,37.19
0.1,0.6,1.45,37.2
0.1,0.6,1.45,37.21
0.1,0.6,1.45,37.22
0.1,0.6,1.45,37.23
0.1,0.6,1.45,37.24
0.1,0.6,1.45,37.25
0.1,0.6,1.45,37.26
0.1,0.6,1.45,37.27
0.1,0.6,1.45,37.28
0.1,0.6,1.45,37.29
0.1,0.6,1.45,37.3
0.1,0.6,1.45,37.31
0.1,0.6,1.45,37.32
0.1,0.6,1.45,37.33
0.1,0.6,1.45,37.34
0.1,0.6,1.45,37.35
0.1,0.6,1.45,37.36
0.1,0.6,1.45,37.37
0.1,0.6,1.45,37.38
0.1,0.6,1.45,37.39
0.1,0.6,1.45,37.4
0.1,0.6,1.45,37.41
0.1,0.6,1.45,37.42
0.1,0.6,1.45,37.43
0.1,0.6,1.45,37.44
0.1,0.6,1.45,37.45
0.1,0.6,1.45,37.46
0.1,0.6,1.45,37.47
0.1,0.6,1.45,37.48
0.1,0.6,1.45,37.49
0.1,0.6,1.45,37.5
0.1,0.6,1.45,37.51
0.1,0.6,1.45,37.52
0.1,0.6,1.45,37.53
0.1,0.6,1.45,37.54
0.1,0.6,1.45,37.55
0.1,0.6,1.45,37.56
0.1,0.6,1.45,37.57
0.1,0.6,1.45,37.58
0.1,0.6,1.45,37.59
0.1,0.6,1.45,37.6
0.1,0.6,1.45,37.61
0.1,0.6,1.45,37.62
0.1,0.6,1.45,37.63
0.1,0.6,1.45,37.64
0.1,0.6,1.45,37.65
0.1,0.6,1.45,37.66
0.1,0.6,1.45,37.67
0.1,0.6,1.45,37.68
0.1,0.6,1.45,37.69
