D [mm],coax_inside [mm],QCOAX_D [mm],freq
0.1,0.1,0.7,57.72
0.1,0.1,0.7,57.73
0.1,0.1,0.7,57.74
0.1,0.1,0.7,57.75
0.1,0.1,0.7,57.76
0.1,0.1,0.7,57.77
0.1,0.1,0.7,57.78
0.1,0.1,0.7,57.79
0.1,0.1,0.7,57.8
0.1,0.1,0.7,57.81
0.1,0.1,0.7,57.82
0.1,0.1,0.7,57.83
0.1,0.1,0.7,57.84
0.1,0.1,0.7,57.85
0.1,0.1,0.7,57.86
0.1,0.1,0.7,57.87
0.1,0.1,0.7,57.88
0.1,0.1,0.7,57.89
0.1,0.1,0.7,57.9
0.1,0.1,0.7,57.91
0.1,0.1,0.7,57.92
0.1,0.1,0.7,57.93
0.1,0.1,0.7,57.94
0.1,0.1,0.7,57.95
0.1,0.1,0.7,57.96
0.1,0.1,0.7,57.97
0.1,0.1,0.7,57.98
0.1,0.1,0.7,57.99
0.1,0.1,0.7,58
0.1,0.1,0.7,58.01
0.1,0.1,0.7,58.02
0.1,0.1,0.7,58.03
0.1,0.1,0.7,58.04
0.1,0.1,0.7,58.05
0.1,0.1,0.7,58.06
0.1,0.1,0.7,58.07
0.1,0.1,0.7,58.08
0.1,0.1,0.7,58.09
0.1,0.1,0.7,58.1
0.1,0.1,0.7,58.11
0.1,0.1,0.7,58.12
0.1,0.1,0.7,58.13
0.1,0.1,0.7,58.14
0.1,0.1,0.7,58.15
0.1,0.1,0.7,58.16
0.1,0.1,0.7,58.17
0.1,0.1,0.7,58.18
0.1,0.1,0.7,58.19
0.1,0.1,0.7,58.2
0.1,0.1,0.7,58.21
0.1,0.1,0.7,58.22
0.1,0.1,0.7,58.23
0.1,0.1,0.7,58.24
0.1,0.1,0.7,58.25
0.1,0.1,0.7,58.26
0.1,0.1,0.7,58.27
0.1,0.1,0.7,58.28
0.1,0.1,0.7,58.29
0.1,0.1,0.7,58.3
0.1,0.1,0.7,58.31
0.1,0.1,0.7,58.32
0.1,0.1,0.7,58.33
0.1,0.1,0.7,58.34
0.1,0.1,0.7,58.35
0.1,0.1,0.7,58.36
0.1,0.1,0.7,58.37
0.1,0.1,0.7,58.38
0.1,0.1,0.7,58.39
0.1,0.1,0.7,58.4
0.1,0.1,0.7,58.41
0.1,0.1,0.7,58.42
0.1,0.1,0.7,58.43
